County,Event_Type,Year,Month,Time_Index,Predicted_Event_Count,Predicted_Average_Magnitude
LIBERTY,HAIL,2028,8,884,0.22,1.2
LIBERTY,HAIL,2028,9,885,0.22,1.2
LIBERTY,HAIL,2028,10,886,0.22,1.2
LIBERTY,HAIL,2028,11,887,0.22,1.2
LIBERTY,HAIL,2028,12,888,0.22,1.2
LIBERTY,HAIL,2029,1,889,0.22,1.2
LIBERTY,HAIL,2029,2,890,0.22,1.2
LIBERTY,HAIL,2029,3,891,0.22,1.2
LIBERTY,HAIL,2029,4,892,0.22,1.2
LIBERTY,HAIL,2029,5,893,0.22,1.2
LIBERTY,HAIL,2029,6,894,0.22,1.2
LIBERTY,HAIL,2029,7,895,0.22,1.2
LIBERTY,HAIL,2029,8,896,0.22,1.2
LIBERTY,HAIL,2029,9,897,0.22,1.2
LIBERTY,HAIL,2029,10,898,0.22,1.2
LIBERTY,HAIL,2029,11,899,0.22,1.2
LIBERTY,HAIL,2029,12,900,0.22,1.2
LIMESTONE,HAIL,2025,1,841,0.32,1.23
LIMESTONE,HAIL,2025,2,842,0.32,1.23
LIMESTONE,HAIL,2025,3,843,0.32,1.23
LIMESTONE,HAIL,2025,4,844,0.32,1.23
LIMESTONE,HAIL,2025,5,845,0.32,1.23
LIMESTONE,HAIL,2025,6,846,0.32,1.23
LIMESTONE,HAIL,2025,7,847,0.32,1.23
LIMESTONE,HAIL,2025,8,848,0.32,1.23
LIMESTONE,HAIL,2025,9,849,0.32,1.23
LIMESTONE,HAIL,2025,10,850,0.32,1.23
LIMESTONE,HAIL,2025,11,851,0.32,1.23
LIMESTONE,HAIL,2025,12,852,0.32,1.23
LIMESTONE,HAIL,2026,1,853,0.32,1.23
LIMESTONE,HAIL,2026,2,854,0.32,1.23
LIMESTONE,HAIL,2026,3,855,0.32,1.23
LIMESTONE,HAIL,2026,4,856,0.32,1.23
LIMESTONE,HAIL,2026,5,857,0.32,1.23
LIMESTONE,HAIL,2026,6,858,0.32,1.23
LIMESTONE,HAIL,2026,7,859,0.32,1.23
LIMESTONE,HAIL,2026,8,860,0.32,1.23
LIMESTONE,HAIL,2026,9,861,0.32,1.23
LIMESTONE,HAIL,2026,10,862,0.32,1.23
LIMESTONE,HAIL,2026,11,863,0.33,1.23
LIMESTONE,HAIL,2026,12,864,0.33,1.23
LIMESTONE,HAIL,2027,1,865,0.33,1.23
LIMESTONE,HAIL,2027,2,866,0.33,1.23
LIMESTONE,HAIL,2027,3,867,0.33,1.23
LIMESTONE,HAIL,2027,4,868,0.33,1.23
LIMESTONE,HAIL,2027,5,869,0.33,1.23
LIMESTONE,HAIL,2027,6,870,0.33,1.23
LIMESTONE,HAIL,2027,7,871,0.33,1.23
LIMESTONE,HAIL,2027,8,872,0.33,1.23
LIMESTONE,HAIL,2027,9,873,0.33,1.23
LIMESTONE,HAIL,2027,10,874,0.33,1.23
LIMESTONE,HAIL,2027,11,875,0.33,1.23
LIMESTONE,HAIL,2027,12,876,0.33,1.23
LIMESTONE,HAIL,2028,1,877,0.33,1.23
LIMESTONE,HAIL,2028,2,878,0.33,1.23
LIMESTONE,HAIL,2028,3,879,0.33,1.23
LIMESTONE,HAIL,2028,4,880,0.33,1.23
LIMESTONE,HAIL,2028,5,881,0.33,1.23
LIMESTONE,HAIL,2028,6,882,0.33,1.23
